,v_x,v_y,r,omega_wheels,friction,delta,Iq,ax_imu,ay_imu,r_imu,run_id
0.5,1.964395651730831,-0.2689264559768061,-2.2458077699824877,1.9427107371376333,0.6,-0.5307031303436142,0.0,-2.427379817788917,-10.35357070839961,-2.199154719477596,0
0.51,1.9631356544000012,-0.270210137099418,-2.267445841423457,1.9031832441841101,0.6,-0.5307444229861206,0.0,-2.931901755937615,-4.978631419735528,-2.275823792202414,0
0.52,1.9506941370281323,-0.2745642492721535,-2.288381686531473,1.887158002583557,0.6,-0.5307799714776463,0.0,0.8388838793947687,3.273986212089259,-1.9295486838822336,0
0.53,1.9279675869979336,-0.2710106924586688,-2.290427136462779,1.8872459416266385,0.6,-0.5308105748775025,0.0,0.07043121099931682,-10.901391290575711,-2.243831614780099,0
0.54,1.91662889206938,-0.2848862578464738,-2.30548474945192,1.903141922746439,0.6,-0.530836921089186,0.0,-1.9769363237407584,-6.511353056743667,-2.3324296062511016,0
0.55,1.900497992135102,-0.28656018100528546,-2.3072948244061786,1.905540260704132,0.6,-0.5308596023230793,0.0,-1.9369658483748615,-9.521507743397613,-2.34376682691803,0
0.56,1.9001525664955126,-0.27644192050439986,-2.3175273288267824,1.8976148862049758,0.6,-0.5308791284081612,0.0,-1.9739143715047411,-3.534603441324714,-2.287509680849711,0
0.5700000000000001,1.889735793877103,-0.2775992583419059,-2.315883337025742,1.887992697822293,0.6,-0.5308959382519477,0.0,-2.8653344459356527,-4.401711659774221,-2.2002401234168345,0
0.58,1.8697380500627923,-0.27194660893116973,-2.2972175802093826,1.8582095166743517,0.6,-0.5309104097062582,0.0,-3.5138926821519503,-6.803750040252765,-2.25509509453689,0
0.59,1.85219848277596,-0.2672380595309809,-2.271179235982631,1.8418370951013583,0.6,-0.5309228680605724,0.0,-2.0975423800594286,-5.220437586162548,-2.324781519229342,0
0.6,1.8341936646154426,-0.27457178396836757,-2.2466229608980632,1.8143391927240182,0.6,-0.5309335933538906,0.0,-1.2319619814569311,-4.709868922574447,-2.2562863591028712,0
0.61,1.8349936844036838,-0.271674183562327,-2.2373899083162088,1.804220126779271,0.6,-0.530942826669452,0.0,-0.9500437465749205,-3.486840358303934,-2.2065784562263726,0
0.62,1.8167702312489176,-0.2781681219595622,-2.2114453630756286,1.7978180898072316,0.6,-0.5309507755538069,0.0,-3.0766428679601017,-3.2611622483589864,-2.213933194502492,0
0.63,1.7936036727986377,-0.2751166694884507,-2.1815932155314917,1.8010886571019593,0.6,-0.530957618682049,0.0,-2.12093610347563,-2.1116026111624913,-2.053222627923526,0
0.64,1.7848469817020964,-0.27797292691828857,-2.1733034533493485,1.788628371519255,0.6,-0.5309635098740765,0.0,-3.216507529054105,-5.833912715291006,-2.192339955672654,0
0.65,1.7687076816238498,-0.2837069393631785,-2.1595142090824235,1.7755645827573134,0.6,-0.5309685815521563,0.0,-0.7371272591677238,1.2115372624768705,-2.0794018657444724,0
0.66,1.7649237456955684,-0.2917815832423769,-2.163106478311903,1.7567181107647458,0.6,-0.530972947717514,0.0,-1.6696793272368111,-4.803840544835316,-2.02992009572171,0
0.67,1.7543961597772744,-0.2876551797980065,-2.163676922747911,1.7469790901905253,0.6,-0.5309767065128538,0.0,-3.349983266310712,-7.091044923932058,-2.18668077600013,0
0.68,1.7350441131272902,-0.28081561703621105,-2.150750573721826,1.7256495466566493,0.6,-0.530979942428411,0.0,-1.770739990144617,0.8915623157310277,-2.155360744316318,0
0.6900000000000001,1.726411250775604,-0.28263224182686464,-2.150560684312721,1.7196339783619778,0.6,-0.5309827282011244,0.0,0.16460023468162577,-0.7410859350274714,-2.1847073111457265,0
0.7000000000000001,1.7114455632598364,-0.28219745754564907,-2.138688887865639,1.6938523368662133,0.6,-0.5309851264496183,0.0,-1.5660309632206533,-9.430418316186476,-2.1227761779478613,0
0.71,1.7098239046595027,-0.2777071528204177,-2.1340344620173037,1.6775613906409925,0.6,-0.5309871910817436,0.0,-2.246802860473522,-4.0633732493149815,-2.1032558074283734,0
0.72,1.6995185896132725,-0.2771029428810113,-2.1213777519679815,1.6485887685228973,0.6,-0.53098896850632,0.0,-1.9643995460396628,-6.6713644065148285,-2.099489086702169,0
0.73,1.6913281439053973,-0.2683609335674372,-2.1087730331559507,1.635695171923898,0.6,-0.5309904986763128,0.0,-2.9877982883922884,-2.933760501105687,-2.1591471307091603,0
0.74,1.6636124685019686,-0.26851971602277086,-2.074562916380916,1.637196810739148,0.6,-0.5309918159868969,0.0,-0.8874328371688449,-0.20154416908015627,-2.138584755582663,0
0.75,1.6400523380871619,-0.26826345902312265,-2.044604665298192,1.6465937087272893,0.6,-0.5309929500485917,0.0,-0.6295535345171961,-3.83363190648532,-2.0336773985979013,0
